regret,reward
3.933906555175781e-06,0.9896802746478336
1.8358230590820312e-05,1.9896802746478337
2.872943878173828e-05,2.9896802746478337
4.482269287109375e-05,3.973507698503154
5.924701690673828e-05,4.927003215358509
6.818771362304688e-05,5.927003215358509
7.069110870361328e-05,6.87556836187242
7.56978988647461e-05,7.837873332100685
8.344650268554688e-05,8.772820743010787
9.763240814208984e-05,9.713266459435198
0.00010228157043457031,10.695325163411269
0.0001195669174194336,11.667909039117001
0.00015974044799804688,12.659516589520685
0.00016582012176513672,13.576557521757383
0.00017845630645751953,14.576557521757383
0.00019180774688720703,15.53397785641008
0.00019788742065429688,16.533977856410083
0.00021255016326904297,17.533977856410083
0.00024569034576416016,18.533920006945912
0.00025463104248046875,19.50244399757013
0.0002617835998535156,20.50244399757013
0.0002713203430175781,21.49106662137671
0.0002803802490234375,22.423325770069223
0.00029754638671875,23.356820356750386
0.00030481815338134766,24.356820356750386
0.0003247261047363281,25.30999884949695
0.0003606081008911133,26.30999884949695
0.00037217140197753906,27.245390416645343
0.00037729740142822266,28.20535492000748
0.0004171133041381836,29.204982135785134
0.0004429817199707031,30.204982135785134
0.0004640817642211914,31.16634795228407
0.0004932880401611328,32.07849621751539
0.0004999637603759766,33.02192563332703
0.0005208253860473633,33.99642247765039
0.00055694580078125,34.99642247765039
0.0005611181259155273,35.98339780356146
0.0005832910537719727,36.98339780356146
0.0005896091461181641,37.87944726909867
0.0006031990051269531,38.77418247113716
0.0006108283996582031,39.77418247113716
0.0006253719329833984,40.77418247113716
0.0006477832794189453,41.738183346817344
0.0006747245788574219,42.738183346817344
0.0006775856018066406,43.738183346817344
0.0006890296936035156,44.738183346817344
0.0006946325302124023,45.670593438848556
0.0007152557373046875,46.670593438848556
0.0007240772247314453,47.670593438848556
0.0007290840148925781,48.618529259134874
0.0007365942001342773,49.618529259134874
0.0007709264755249023,50.618529259134874
0.0007836818695068359,51.59173573368475
0.0007917881011962891,52.56849697335557
0.0008093118667602539,53.5349484883202
0.0008254051208496094,54.52671631044518
0.0008481740951538086,55.49321050971286
0.0008598566055297852,56.49321050971286
0.0008765459060668945,57.49321050971286
0.000897526741027832,58.434427663248776
0.0009094476699829102,59.434427663248776
0.0009200572967529297,60.434427663248776
0.0009338855743408203,61.434427663248776
0.0009489059448242188,62.37725285081681
0.0009590387344360352,63.30322976246623
0.0009726285934448242,64.30322976246623
0.0009790658950805664,65.21798522930273
0.0009913444519042969,66.19820862308477
0.0010013580322265625,67.17852655958993
0.0010155439376831055,68.13026859108984
0.001027822494506836,69.13026859108984
0.00103759765625,70.0064229185824
0.0010722875595092773,71.0064229185824
0.0010820627212524414,72.0064229185824
0.0011248588562011719,73.0064229185824
0.001143336296081543,74.0064229185824
0.0011594295501708984,74.98065551093036
0.0011805295944213867,75.98065551093036
0.001195073127746582,76.97409442397249
0.001198410987854004,77.94109683796205
0.0012019872665405273,78.94109683796205
0.001207113265991211,79.89285987222696
0.001217484474182129,80.89285987222696
0.0012302398681640625,81.88803244851684
0.0012377500534057617,82.82343939987703
0.001244187355041504,83.82343939987703
0.001249074935913086,84.80224741726653
0.0012537240982055664,85.80224741726653
0.0012720823287963867,86.80224741726653
0.001294255256652832,87.70848741402615
0.0012992620468139648,88.70648298595088
0.0013039112091064453,89.7015747524814
0.0013183355331420898,90.57375333066621
0.0013245344161987305,91.57375333066621
0.001334071159362793,92.55346108305267
0.0013413429260253906,93.55346108305267
0.0013526678085327148,94.55346108305267
0.0013595819473266602,95.510057973986
0.001373291015625,96.510057973986
0.0014091730117797852,97.50441600881514
0.0014200210571289062,98.44367798878396
0.0014338493347167969,99.42301043345824
0.0014455318450927734,100.42301043345824
0.0014696121215820312,101.42301043345824
0.0014781951904296875,102.3926208275765
0.0014914274215698242,103.31109917939236
0.001514434814453125,104.31109917939236
0.0015195608139038086,105.22682999062022
0.0015262365341186523,106.19211431594405
0.001538395881652832,107.17315605118081
0.0015622377395629883,108.17315605118081
0.0015714168548583984,109.10789490400056
0.001590728759765625,110.10789490400056
0.0015987157821655273,111.10789490400056
0.0016082525253295898,112.03945685113686
0.0016345977783203125,113.03945685113686
0.001641988754272461,114.00384848278279
0.0016802549362182617,115.00384848278279
0.0017069578170776367,116.00384848278279
0.001725316047668457,117.00384848278279
0.0017470121383666992,118.00384848278279
0.0017510652542114258,119.00384848278279
0.0017625093460083008,119.90914691901138
0.0017704963684082031,120.90914691901138
0.001791238784790039,121.76589238217448
0.0018051862716674805,122.76589238217448
0.0018101930618286133,123.71267096706902
0.001822829246520996,124.56153267228781
0.001849055290222168,125.4726054474996
0.0018570423126220703,126.46013861961535
0.0018725395202636719,127.43931071546913
0.0019119977951049805,128.43931071546913
0.001920938491821289,129.3729572959096
0.0019241571426391602,130.35255607131108
0.0019295215606689453,131.28906073823822
0.0019468069076538086,132.28906073823822
0.0019614696502685547,133.25572880807863
0.0019631385803222656,134.25572880807863
0.0019693374633789062,135.25572880807863
0.0019704103469848633,136.25572880807863
0.0019818544387817383,137.25572880807863
0.001999974250793457,138.25572880807863
0.0020122528076171875,139.25572880807863
0.002031087875366211,140.16026256778233
0.00203859806060791,141.16026256778233
0.002046823501586914,142.13399799822002
0.0020569562911987305,143.12907264638747
0.0020742416381835938,144.08758915668494
0.002077817916870117,145.06471297208438
0.0020874738693237305,146.06393528013376
0.002106189727783203,147.06393528013376
0.0021440982818603516,147.98504672423664
0.002153158187866211,148.9234888030321
0.002160787582397461,149.9234888030321
0.0021774768829345703,150.9234888030321
0.0021823644638061523,151.86756932472875
0.0021895170211791992,152.86756932472875
0.0022002458572387695,153.86756932472875
0.0022040605545043945,154.86177394934
0.0022101402282714844,155.86177394934
0.002216935157775879,156.81377344647282
0.0022329092025756836,157.80297803986
0.002245783805847168,158.80297803986
0.0022531747817993164,159.80297803986
0.0022641420364379883,160.7769504696109
0.0022771358489990234,161.7769504696109
0.0022815465927124023,162.74073411550387
0.0023157596588134766,163.71149808926157
0.0023227930068969727,164.66250792168168
0.0023283958435058594,165.62375583118677
0.00234377384185791,166.61453107847066
0.002353191375732422,167.5659800565859
0.002375483512878418,168.5659800565859
0.0023893117904663086,169.52890442870924
0.0023987293243408203,170.52890442870924
0.0024083852767944336,171.52890442870924
0.0024251937866210938,172.52193016649596
0.002442479133605957,173.4621606706766
0.0024431943893432617,174.4591887047798
0.002456188201904297,175.40480669091897
0.0024846792221069336,176.40480669091897
0.0024912357330322266,177.38803462824765
0.0025048255920410156,178.3833903062266
0.0025243759155273438,179.3806424859785
0.002529144287109375,180.3278318215466
0.002545475959777832,181.2245143795614
0.0025731325149536133,182.15697609425055
0.0025843381881713867,183.15697609425055
0.002593398094177246,184.15697609425055
0.0026159286499023438,185.15697609425055
0.0026395320892333984,186.15697609425055
0.0026584863662719727,187.15697609425055
0.0026688575744628906,188.1312061466442
0.002695918083190918,189.1312061466442
0.0027083158493041992,190.1312061466442
0.002716660499572754,191.12408878439962
0.002726316452026367,192.01251525241608
0.0027284622192382812,193.01251525241608
0.0027326345443725586,194.00660215392082
0.0027426481246948242,194.95383318761768
0.00275266170501709,195.95383318761768
0.0027576684951782227,196.9382746930239
0.0028162002563476562,197.9296158943542
0.002820134162902832,198.9290557642803
0.0028334856033325195,199.925572143497
0.0028383731842041016,200.925572143497
0.00284576416015625,201.90174506441173
0.0028619766235351562,202.90174506441173
0.0028769969940185547,203.8911051788906
0.0028929710388183594,204.87948968330613
0.002913236618041992,205.82487647392014
0.002929210662841797,206.78789278756716
0.0029352903366088867,207.77107527189708
0.002946615219116211,208.77107527189708
0.0029762983322143555,209.74356096845773
0.0029991865158081055,210.74356096845773
0.0030096769332885742,211.69889044187548
0.0030121803283691406,212.69889044187548
0.0030448436737060547,213.68645486598606
0.0030492544174194336,214.68645486598606
0.0030530691146850586,215.68645486598606
0.003065347671508789,216.68645486598606
0.0030814409255981445,217.68645486598606
0.003088235855102539,218.68645486598606
