algorithm,seed,cumulative_regret,average_reward,optimal_round,param_error
Q-TS,42,0.01546776294708252,0.9763626317070733,,0.1787885751015367
Q-TS,43,0.021019816398620605,0.9837853990476514,,0.22761526975346086
Q-TS,44,0.017484068870544434,0.9786571564687232,,0.2687283773782022
Q-TS,45,0.015688061714172363,0.9769429242962212,,0.2004160964381655
Q-TS,46,0.016655325889587402,0.9781714432805398,,0.15131557934050377
Q-TS,47,0.0164109468460083,0.9780116416797191,,0.04906737679559051
Q-TS,48,0.014998793601989746,0.9797131398853114,,0.2569464276019274
Q-TS,49,0.016276836395263672,0.9788368593609753,,0.02765396042560683
Q-TS,50,0.01415407657623291,0.9775843368978854,,0.31090922041096075
Q-TS,51,0.010593056678771973,0.9826878631001363,,0.6061509603505897
Q-CUCB,42,0.015053510665893555,0.9815401042950027,,0.19486094587380762
Q-CUCB,43,0.01852548122406006,0.9815337808076672,,0.3018688997930614
Q-CUCB,44,0.02609431743621826,0.9840186088791937,,0.2816925424520192
Q-CUCB,45,0.017295360565185547,0.9850399386289905,,0.1294563369707835
Q-CUCB,46,0.017221927642822266,0.9829057343850465,,0.14127366751578466
Q-CUCB,47,0.01613438129425049,0.9773355568377521,,0.059136748398294
Q-CUCB,48,0.015838265419006348,0.9786959612151902,,0.20951347656846545
Q-CUCB,49,0.01512157917022705,0.9769748831282157,,0.15309125469121074
Q-CUCB,50,0.016795635223388672,0.9824079894301063,,0.48325404508072184
Q-CUCB,51,0.014878034591674805,0.9843104581611015,,0.227558548572396
Q-Neural,42,0.02915513515472412,0.9783434424100327,,0.18757159128019593
Q-Neural,43,0.005159258842468262,0.9789683508350651,,0.2791005617960159
Q-Neural,44,0.024956822395324707,0.9852999190252928,,0.060998891917409453
Q-Neural,45,0.013434648513793945,0.9809017376997012,,0.34160629160521866
Q-Neural,46,0.02050304412841797,0.9832051538761851,,0.14597280440181648
Q-Neural,47,0.0307466983795166,0.9784340392699593,,0.4408856110533172
Q-Neural,48,0.017686009407043457,0.983270378196919,,0.2645156292492306
Q-Neural,49,0.026371121406555176,0.9786954144169964,,0.027149092881362864
Q-Neural,50,0.01531076431274414,0.9816852651323752,,0.1939527107543653
Q-Neural,51,0.029987573623657227,0.9779535532032197,,0.6083093734115117
